times,assemble_time1,assemble_time2,assemble_time3,assemble_time4,assemble_time5,assemble_time6,assemble_time7,assemble_time8,assemble_time9,assemble_time10,assemble_time11,assemble_time12,assemble_time13,assemble_time14,assemble_time15,assemble_time16,assemble_time17,assemble_time18,assemble_time19,assemble_time20,assemble_time21,assemble_time22,assemble_time23,assemble_time24,assemble_time25,assemble_time26,assemble_time27,assemble_time28,assemble_time29,assemble_time30,assemble_time31,assemble_time32,assemble_time33,assemble_time34,assemble_time35,assemble_time36,assemble_time37,assemble_time38,assemble_time39,assemble_time40,assemble_time41,assemble_time42,assemble_time43,assemble_time44,assemble_time45,assemble_time46,assemble_time47,assemble_time48,assemble_time49,assemble_time50,assemble_time51,assemble_time52,assemble_time53,assemble_time54,assemble_time55,assemble_time56,assemble_time57,assemble_time58,assemble_time59,assemble_time60,assemble_time61,assemble_time62,assemble_time63,assemble_time64,assemble_time65,assemble_time66,assemble_time67,assemble_time68,assemble_time69,assemble_time70,assemble_time71,assemble_time72,assemble_time73,assemble_time74,assemble_time75,assemble_time76,assemble_time77,assemble_time78,assemble_time79,assemble_time80,assemble_time81,assemble_time82,assemble_time83,assemble_time84,assemble_time85,assemble_time86,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14,date15,date16,date17,date18,date19,date20,date21,date22,date23,date24,date25,date26,date27,date28,date29,date30,date31,date32,date33,date34,date35,date36,date37,date38,date39,date40,date41,date42,date43,date44,date45,date46,date47,date48,date49,date50,date51,date52,date53,date54,date55,date56,date57,date58,date59,date60,date61,date62,date63,date64,date65,date66,date67,date68,date69,date70,date71,date72,date73,date74,date75,date76,date77,date78,date79,date80,date81,date82,date83,date84,date85,date86,hours1,hours2,hours3,hours4,hours5,hours6,hours7,hours8,hours9,hours10,hours11,hours12,hours13,hours14,hours15,hours16,hours17,hours18,hours19,hours20,hours21,hours22,hours23,hours24,hours25,hours26,hours27,hours28,hours29,hours30,hours31,hours32,hours33,hours34,hours35,hours36,hours37,hours38,hours39,hours40,hours41,hours42,hours43,hours44,hours45,hours46,hours47,hours48,hours49,hours50,hours51,hours52,hours53,hours54,hours55,hours56,hours57,hours58,hours59,hours60,hours61,hours62,hours63,hours64,hours65,hours66,hours67,hours68,hours69,hours70,hours71,hours72,hours73,hours74,hours75,hours76,hours77,hours78,hours79,hours80,hours81,hours82,hours83,hours84,hours85,hours86
185,1884,1890,5653,5709,3628,4330,7195,1810,1815,1813,12715,606,4448,4458,3746,639,9521,1814,1803,1798,717,1076,1078,1081,1071,1083,2389,1082,1090,722,724,731,725,1822,3632,5468,1835,1841,7423,1851,1882,1906,2530,1880 ,1888 ,5652 ,5719 ,3610 ,4320 ,7198 ,1816 ,1816 ,1809 ,12725 ,604 ,4458 ,4455 ,3735 ,640 ,9510 ,1803 ,1795 ,1799 ,718 ,1082 ,1078 ,1071 ,1075 ,1085 ,2399 ,1093 ,1089 ,721 ,724 ,735 ,720 ,1817 ,3636 ,5460 ,1831 ,1845 ,7429 ,1864 ,1893 ,1907 ,2538 ,2021/10/26,2021/10/26,2021/10/26,2021/10/26,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/26,2021/10/26,2021/10/26,2021/10/26,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,21,21,21,22,6,8,9,14,14,14,15,15,19,19,20,22,22,6,8,9,9,10,10,10,11,11,11,11,13,13,14,14,14,15,15,16,17,18,19,19,21,22,22,21,21,21,22,6,8,9,14,14,14,15,15,19,19,20,22,22,6,8,9,9,10,10,10,11,11,11,11,13,13,14,14,14,15,15,16,17,18,19,19,21,22,22
186,1818,1809,5431,5443,3644,4433,7430,1902,1899,1819,12666,602,4309,4323,3617,606,9074,1812,1843,1841,738,1110,1121,1121,1130,1122,2505,1130,1140,751,755,727,718,1807,3609,5408,1799,1797,7209,1807,1801,1817,2417,1816 ,1810 ,5433 ,5453 ,3659 ,4420 ,7431 ,1904 ,1903 ,1801 ,12670 ,606 ,4324 ,4319 ,3608 ,603 ,9075 ,1822 ,1835 ,1844 ,745 ,1109 ,1109 ,1113 ,1123 ,1120 ,2511 ,1128 ,1146 ,762 ,776 ,721 ,724 ,1799 ,3613 ,5411 ,1799 ,1802 ,7192 ,1799 ,1806 ,1821 ,2411 ,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/27,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,14,14,14,15,16,18,19,22,22,6,6,7,10,11,13,15,15,15,18,18,19,19,20,20,20,20,21,21,22,22,22,6,6,7,7,8,9,10,11,11,14,15,15,14,14,14,15,16,18,19,22,22,6,6,7,10,11,13,15,15,15,18,18,19,19,20,20,20,20,21,21,22,22,22,6,6,7,7,8,9,10,11,11,14,15,15
187,1900,1901,5433,5415,3601,4313,7198,1817,1814,1821,12765,621,4489,4482,3803,617,9021,1805,1799,1800,720,1083,1093,1092,1088,1082,2416,1083,1091,728,728,732,727,1830,3663,5505,1842,1880,7483,1885,1814,1815,2415,1901 ,1902 ,5428 ,5411 ,3593 ,4325 ,7196 ,1816 ,1817 ,1824 ,12766 ,603 ,4489 ,4487 ,3801 ,606 ,9032 ,1799 ,1788 ,1785 ,722 ,1074 ,1092 ,1080 ,1075 ,1076 ,2406 ,1081 ,1089 ,728 ,723 ,720 ,726 ,1836 ,3667 ,5489 ,1833 ,1871 ,7484 ,1891 ,1801 ,1812 ,2410 ,2021/10/27,2021/10/27,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/30,2021/10/30,2021/10/30,2021/10/27,2021/10/27,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/30,2021/10/30,2021/10/30,22,22,6,7,8,10,11,15,15,16,16,17,20,20,22,7,7,7,10,10,11,11,11,13,13,13,14,14,15,15,15,15,16,17,17,17,18,20,20,21,6,6,7,22,22,6,7,8,10,11,15,15,16,16,17,20,20,22,7,7,7,10,10,11,11,11,13,13,13,14,14,15,15,15,15,16,17,17,17,18,20,20,21,6,6,7
188,1812,1816,5474,5465,3692,4457,7478,1810,1807,1804,12608,604,4334,4337,3614,611,9167,1838,1854,1867,749,1134,1128,1134,1153,1144,2538,1088,1086,726,729,723,716,1798,3592,5396,1803,1803,7229,1820,1825,1816,2442,1815 ,1816 ,5471 ,5474 ,3688 ,4458 ,7480 ,1814 ,1809 ,1804 ,12593 ,600 ,4327 ,4332 ,3619 ,607 ,9160 ,1835 ,1845 ,1872 ,752 ,1125 ,1134 ,1127 ,1143 ,1139 ,2537 ,1089 ,1081 ,720 ,732 ,726 ,717 ,1800 ,3596 ,5393 ,1799 ,1796 ,7226 ,1806 ,1825 ,1830 ,2448 ,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/28,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,15,15,16,16,18,19,20,7,7,7,8,8,13,13,14,17,17,17,19,20,20,21,21,21,22,22,22,6,6,7,7,7,7,9,9,9,10,13,13,14,16,16,17,15,15,16,16,18,19,20,7,7,7,8,8,13,13,14,17,17,17,19,20,20,21,21,21,22,22,22,6,6,7,7,7,7,9,9,9,10,13,13,14,16,16,17
189,1806,1814,5394,5407,3595,4307,7218,1832,1832,1839,12911,619,4572,4563,3620,600,9001,1802,1786,1807,721,1087,1085,1085,1092,1086,2429,1091,1089,735,732,739,729,1848,3684,5564,1874,1888,7608,1894,1803,1806,2394,1810 ,1807 ,5392 ,5399 ,3599 ,4312 ,7220 ,1834 ,1836 ,1833 ,12904 ,609 ,4562 ,4565 ,3610 ,594 ,8989 ,1801 ,1788 ,1805 ,713 ,1076 ,1085 ,1087 ,1087 ,1079 ,2421 ,1091 ,1088 ,729 ,736 ,735 ,736 ,1849 ,3690 ,5575 ,1873 ,1874 ,7604 ,1902 ,1804 ,1799 ,2392 ,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/31,2021/10/31,2021/10/31,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/31,2021/10/31,2021/10/31,7,7,8,8,10,11,13,17,17,17,18,18,22,22,6,9,9,9,11,13,13,14,14,14,15,15,15,15,16,16,17,17,17,18,18,19,20,21,22,22,7,8,9,7,7,8,8,10,11,13,17,17,17,18,18,22,22,6,9,9,9,11,13,13,14,14,14,15,15,15,15,16,16,17,17,17,18,18,19,20,21,22,22,7,8,9
190,1827,1825,5497,5518,3719,4530,7619,1802,1790,1816,12596,594,4360,4357,3652,613,9216,1853,1888,1886,760,1090,1088,1083,1087,1086,2405,1075,1088,719,713,716,716,1801,3599,5398,1810,1814,7276,1822,1834,1850,2458,1834 ,1828 ,5503 ,5529 ,3723 ,4532 ,7613 ,1799 ,1803 ,1796 ,12584 ,598 ,4361 ,4352 ,3646 ,614 ,9212 ,1835 ,1887 ,1880 ,758 ,1148 ,1082 ,1083 ,1089 ,1080 ,2407 ,1085 ,1077 ,720 ,725 ,717 ,718 ,1794 ,3597 ,5405 ,1810 ,1812 ,7262 ,1813 ,1843 ,1843 ,2463 ,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/29,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,17,17,17,18,19,21,22,9,9,9,10,10,15,15,16,18,18,18,21,21,22,6,6,6,6,7,7,7,8,8,9,9,9,10,10,11,13,14,15,15,17,18,18,17,17,17,18,19,21,22,9,9,9,10,10,15,15,16,18,18,18,21,21,22,22,6,6,6,7,7,7,8,8,9,9,9,10,10,11,13,14,15,15,17,18,18
191,1804,1799,5403,5400,3597,4341,7265,1845,1837,1860,12992,627,4341,4324,3601,594,8997,1792,1812,1799,727,1088,1087,1092,1089,1096,2449,1107,1119,734,737,737,744,1865,3739,5607,1881,1814,7244,1813,1797,1796,2399,1796 ,1796 ,5398 ,5394 ,3590 ,4341 ,7269 ,1842 ,1844 ,1856 ,12996 ,625 ,4353 ,4324 ,3607 ,593 ,8984 ,1800 ,1810 ,1818 ,723 ,1080 ,1096 ,1095 ,1091 ,1089 ,2452 ,1097 ,1106 ,749 ,733 ,742 ,747 ,1872 ,3745 ,5609 ,1875 ,1812 ,7238 ,1802 ,1794 ,1803 ,2405 ,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,8,9,9,10,11,14,15,18,18,19,19,20,6,7,8,10,10,10,14,14,15,15,15,16,16,16,17,17,18,18,18,18,19,20,20,20,21,6,6,7,9,9,10,8,9,9,10,11,14,15,18,18,19,19,20,6,7,8,10,10,10,14,14,15,15,15,16,16,16,17,17,18,18,18,18,19,20,20,20,21,6,6,7,9,9,10
192,1844,1853,5574,5573,3769,4561,7231,1794,1798,1802,12587,598,4376,4377,3668,628,9354,1865,1906,1812,720,1095,1080,1082,1084,1087,2416,1081,1078,720,714,718,715,1795,3600,5414,1809,1814,7305,1832,1860,1856,2494,1846 ,1842 ,5577 ,5567 ,3764 ,4566 ,7241 ,1801 ,1796 ,1795 ,12597 ,594 ,4375 ,4376 ,3667 ,626 ,9344 ,1875 ,1900 ,1811 ,720 ,1081 ,1085 ,1082 ,1088 ,1078 ,2399 ,1082 ,1080 ,720 ,720 ,721 ,721 ,1800 ,3598 ,5406 ,1818 ,1824 ,7288 ,1838 ,1856 ,1860 ,2498 ,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/30,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,18,18,19,19,21,22,6,10,10,10,11,11,16,16,17,20,20,20,22,6,7,7,7,8,8,8,8,9,9,10,10,10,10,12,12,13,14,16,16,17,19,19,20,18,18,19,19,21,22,6,10,10,10,11,11,16,16,17,20,20,20,22,6,7,7,7,8,8,8,8,9,9,10,10,10,10,12,12,13,14,16,16,17,19,19,20
193,1804,1804,5406,5399,3615,4354,7304,1872,1868,1871,13202,623,4315,4324,3598,601,9000,1794,1810,1824,723,1100,1099,1101,1102,1108,2453,1112,1111,740,753,739,743,1891,3771,5705,1808,1810,7206,1788,1813,1794,2403,1798 ,1798 ,5397 ,5401 ,3624 ,4363 ,7288 ,1873 ,1871 ,1864 ,13199 ,626 ,4327 ,4323 ,3597 ,602 ,9002 ,1802 ,1815 ,1829 ,722 ,1105 ,1092 ,1102 ,1111 ,1105 ,2456 ,1107 ,1108 ,747 ,743 ,751 ,755 ,1880 ,3762 ,5705 ,1811 ,1808 ,7206 ,1807 ,1798 ,1804 ,2397 ,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,10,10,11,11,14,15,16,20,20,20,21,21,8,8,9,12,12,13,15,16,16,17,17,17,18,18,18,18,19,19,20,20,20,21,21,22,6,7,8,8,10,11,11,10,10,11,11,14,15,16,20,20,20,21,21,8,8,9,12,12,13,15,16,16,17,17,17,18,18,18,18,19,19,20,20,20,21,21,22,6,7,8,8,10,11,11
194,1876,1871,5611,5642,3798,4337,7193,1801,1798,1795,12669,599,4427,4437,3702,623,9425,1876,1810,1801,728,1089,1084,1079,1073,1078,2396,1083,1078,710,720,725,723,1824,3606,5454,1824,1836,7378,1842,1866,1889,2510,1866 ,1871 ,5617 ,5648 ,3803 ,4331 ,7213 ,1795 ,1805 ,1802 ,12664 ,609 ,4425 ,4426 ,3713 ,627 ,9428 ,1892 ,1801 ,1797 ,724 ,1083 ,1086 ,1077 ,1073 ,1085 ,2402 ,1082 ,1074 ,719 ,737 ,723 ,715 ,1810 ,3623 ,5449 ,1827 ,1833 ,7383 ,1843 ,1869 ,1888 ,2514 ,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/10/31,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,20,20,20,21,22,7,8,12,12,13,14,14,18,18,19,21,21,21,7,8,8,9,9,9,9,10,10,10,11,11,13,13,13,14,14,15,16,17,18,18,20,21,21,20,20,20,21,22,7,8,12,12,13,14,14,18,18,19,21,21,21,7,8,8,9,9,9,9,10,10,10,11,11,13,13,13,14,14,15,16,17,18,18,20,21,21
195,1807,1803,5416,5434,3628,4394,7368,1887,1884,1911,13310,607,4318,4318,3595,597,9048,1816,1833,1831,737,1118,1129,1123,1111,1107,2497,1119,1116,755,747,767,759,1820,3621,5419,1799,1794,7188,1805,1806,1811,2408,1800 ,1798 ,5410 ,5431 ,3632 ,4399 ,7378 ,1883 ,1893 ,1898 ,13308 ,604 ,4312 ,4307 ,3597 ,601 ,9046 ,1819 ,1828 ,1836 ,738 ,1116 ,1106 ,1117 ,1121 ,1127 ,2494 ,1118 ,1133 ,757 ,755 ,760 ,756 ,1818 ,3621 ,5415 ,1801 ,1792 ,7192 ,1793 ,1808 ,1806 ,2409 ,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/1,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/2,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,2021/11/3,12,12,13,14,15,17,18,21,21,22,22,6,10,10,11,14,14,14,17,17,18,18,19,19,19,20,20,20,21,21,21,22,22,6,6,7,8,9,10,10,13,14,14,12,12,13,14,15,17,18,21,21,22,22,6,10,10,11,14,14,14,17,17,18,18,19,19,19,20,20,20,21,21,21,22,22,6,6,7,8,9,10,10,13,14,14
